"SiteNum","site","species","longitude","latitude","reference"
1,"East_Sayan","Abies_sibirica",93.3,54.64,"AbiesSibirica_Kharuk_2013"
2,"BI2012","Pinus_sibirica",88.75,54.14,"PinusSibirica_Kharuk_2013"
3,"DP1","Picea_abies",44.17,63,"PiceaAbies_Aakala_2011"
4,"DP2","Picea_abies",44.17,63,"PiceaAbies_Aakala_2011"
5,"DP3","Picea_abies",44.17,63,"PiceaAbies_Aakala_2011"
6,"DP4","Picea_abies",44.17,63,"PiceaAbies_Aakala_2011"
7,"DP5","Picea_abies",44.17,63,"PiceaAbies_Aakala_2011"
8,"Yatir_forest","Pinus_halepensis",35.05,31.34,"PinusHalepensis_Klein_unpub"
9,"Lahav","Pinus_halepensis",34.85,31.37,"PinusHalepensis_Sarris_unpub"
10,"Diss1","Pinus_brutia",26.63,37.7,"PinusBrutia_Sarris_unpub"
11,"Hollola208","Picea_abies",25.79,61.04,"PiceaAbies_Makinen_2001"
12,"Hollola206","Picea_abies",25.72,61.02,"PiceaAbies_Makinen_2001"
13,"Hollola207","Picea_abies",25.72,61.05,"PiceaAbies_Makinen_2001"
14,"Sipoo201","Picea_abies",25.29,60.44,"PiceaAbies_Makinen_2001"
15,"Sipoo202","Picea_abies",25.24,60.45,"PiceaAbies_Makinen_2001"
16,"Sipoo203","Picea_abies",25.24,60.47,"PiceaAbies_Makinen_2001"
17,"Sipoo204","Picea_abies",25.24,60.47,"PiceaAbies_Makinen_2001"
18,"Sipoo205","Picea_abies",25.2,60.45,"PiceaAbies_Makinen_2001"
19,"Lammi","Picea_abies",25.09,60.9,"PiceaAbies_Makinen_2001"
20,"Paimio","Picea_abies",22.75,60.45,"PiceaAbies_Makinen_2001"
21,"Vahto","Picea_abies",22.35,60.62,"PiceaAbies_Makinen_2001"
22,"Merimasku","Picea_abies",21.87,60.49,"PiceaAbies_Makinen_2001"
23,"Agios_Nikolaos","Abies_cephalonica",21.86,38.86,"AbiesCephalonica_Papadopoulos_2007"
24,"Askainen","Picea_abies",21.85,60.54,"PiceaAbies_Makinen_2001"
25,"Karpenissi","Abies_cephalonica",21.78,38.89,"AbiesCephalonica_Papadopoulos_2007"
26,"Chojnow_Forest_District","Quercus_robur",21.09,52.02,"QuercusRobur_Tulik_2014"
27,"Vojvodina","Quercus_cerris",19.17,45.47,"QuercusCerris_Stojanovic_2014"
28,"Cigonca","Quercus_robur",15.59,46.35,"QuercusRobur_Levanic_2013"
29,"Bistra","Abies_alba",14.3,45.94,"AbiesAlba_Bigler_2004"
30,"Borsberg","Fagus_sylvatica",13.89,51,"FagusSylvatica_Gillner_2013"
31,"Eisack_Valley","Castanea_sativa",11.6,46.67,"CastaneaSativa_Oberhuber_2009"
32,"Tschirgant","Pinus_sylvestris",10.84,47.24,"PinusSylvestris_Oberhuber_2001"
33,"Gliswald_Gamsen","Pinus_sylvestris",7.95,46.3,"PinusSylvestris_Bigler_2006"
34,"Rohrberg_Eyholz","Pinus_sylvestris",7.95,46.3,"PinusSylvestris_Bigler_2006"
35,"Pfynwald","Pinus_sylvestris",7.57,46.29,"PinusSylvestris_Rohner_unpub"
36,"Vesubie3","Abies_alba",7.19,43.85,"AbiesAlba_Cailleret_2013"
37,"Vesubie6","Abies_alba",7.19,43.85,"AbiesAlba_Cailleret_2013"
38,"Issole2","Abies_alba",6.5,44.27,"AbiesAlba_Cailleret_2013"
39,"Ventoux_Dvx1","Abies_alba",5.27,44.17,"AbiesAlba_Cailleret_2013"
40,"Ventoux_Dvx2","Abies_alba",5.27,44.17,"AbiesAlba_Cailleret_2013"
41,"Ventoux_Dvx3","Abies_alba",5.27,44.17,"AbiesAlba_Cailleret_2013"
42,"Ventoux_TC","Abies_alba",5.27,44.17,"AbiesAlba_Cailleret_2013"
43,"Arcalis_dry_transect","Pinus_sylvestris",1.19,42.37,"PinusSylvestris_Heres_2012"
44,"Prades_dry_transect","Pinus_sylvestris",1.02,41.34,"PinusSylvestris_Heres_2012"
45,"Solano_de_la_Vega_High","Pinus_sylvestris",-0.7,40.37,"PinusSylvestris_Sanguesa-Barreda_2013"
46,"Solano_de_la_Vega_Low","Pinus_sylvestris",-0.7,40.37,"PinusSylvestris_Sanguesa-Barreda_2013"
47,"Puerto_de_Gidar_Low","Pinus_sylvestris",-0.71,40.35,"PinusSylvestris_Sanguesa-Barreda_2013"
48,"Puerto_de_Gidar_High","Pinus_sylvestris",-0.71,40.35,"PinusSylvestris_Sanguesa-Barreda_2013"
49,"Paco_Ezpela_High","Abies_alba",-0.84,42.75,"AbiesAlba_Linares_2012"
50,"Paco_Ezpela_Low","Abies_alba",-0.84,42.75,"AbiesAlba_Linares_2012"
51,"Lopet","Abies_alba",-0.85,42.77,"AbiesAlba_Linares_2012"
52,"QP_Valsain","Quercus_pyrenaica",-4,40.87,"QuercusPyrenaica_Gea-Izquierdo_2014"
53,"Valsain","Pinus_sylvestris",-4.01,40.86,"PinusSylvestris_Gea-Izquierdo_2014"
54,"Valsain_high","Pinus_sylvestris",-4.06,40.84,"PinusSylvestris_Gea-Izquierdo_2014"
55,"Confluencia","Austrocedrus_chilensis",-71.1,-40.74,"AustrocedrusChilensis_Villalba_1998"
56,"Centinela","Austrocedrus_chilensis",-71.14,-40.7,"AustrocedrusChilensis_Villalba_1998"
57,"Paso_del_viento","Austrocedrus_chilensis",-71.15,-40.7,"AustrocedrusChilensis_Villalba_1998"
58,"Cerro_Otto","Nothofagus_dombeyi",-71.4,-41.15,"NothofagusDombeyi_Suarez_2004"
59,"CE1","Austrocedrus_chilensis",-71.54,-41.95,"AustrocedrusChilensis_Amoroso_2012"
60,"CE2","Austrocedrus_chilensis",-71.54,-41.95,"AustrocedrusChilensis_Amoroso_2012"
61,"CR1","Austrocedrus_chilensis",-71.55,-41.92,"AustrocedrusChilensis_Amoroso_2012"
62,"CR2","Austrocedrus_chilensis",-71.55,-41.92,"AustrocedrusChilensis_Amoroso_2012"
