"","Year","CoreID","Width","yrID","Age","RWI"
"1",1905,1,0.13,1,10,0.0910145196455907
"2",1906,1,0.1,2,11,0.0704758957591628
"3",1907,1,0.2,3,12,0.141893666805372
"4",1908,1,0.7,4,13,0.499968750634726
"5",1909,1,0.57,5,14,0.409874722155782
"6",1910,1,0.99,6,15,0.716742001115489
"7",1911,1,0.42,7,16,0.306160053920555
"8",1912,1,0.71,8,17,0.521134267756397
"9",1913,1,0.95,9,18,0.702146430564738
"10",1914,1,0.86,10,19,0.64008314195413
"11",1915,1,0.69,11,20,0.517180596010059
"12",1916,1,1.53,12,21,1.15494526092907
"13",1917,1,1.77,13,22,1.34568071801762
"14",1918,1,1.89,14,23,1.44727689800333
"15",1919,1,1.77,15,24,1.36523290270581
"16",1920,1,2.34,16,25,1.81809224089694
"17",1921,1,2.23,17,26,1.74539912170211
"18",1922,1,2.41,18,27,1.90029212702329
"19",1923,1,1.93,19,28,1.53319723081025
"20",1924,1,1.49,20,29,1.19258320883016
"21",1925,1,1.43,21,30,1.15325367222017
"22",1926,1,1.47,22,31,1.19458646204416
"23",1927,1,1.95,23,32,1.59687806006048
"24",1928,1,2.03,24,33,1.67531280076808
"25",1929,1,1.49,25,34,1.23929616116977
"26",1930,1,1.61,26,35,1.34967850901049
"27",1931,1,1.49,27,36,1.25902229789911
"28",1932,1,1.62,28,37,1.37985157428607
"29",1933,1,1.61,29,38,1.38242440585427
"30",1934,1,1.66,30,39,1.43697816108509
"31",1935,1,1.67,31,40,1.45751819653929
"32",1936,1,1.69,32,41,1.48719871352289
"33",1937,1,1.86,33,42,1.65047845319556
"34",1938,1,1.13,34,43,1.01116100685329
"35",1939,1,1.05,35,44,0.947560558375894
"36",1940,1,0.99,36,45,0.901073160444872
"37",1941,1,1.01,37,46,0.927225429514463
"38",1942,1,1.1,38,47,1.01865757214992
"39",1943,1,0.82,39,48,0.76604449963993
"40",1944,1,0.96,40,49,0.904793803554111
"41",1945,1,1.1,41,50,1.04602853692919
"42",1946,1,1.26,42,51,1.20900666794431
"43",1947,1,0.99,43,52,0.958597124586743
"44",1948,1,1,44,53,0.977191828647955
"45",1949,1,1.12,45,54,1.10462162167622
"46",1950,1,1.03,46,55,1.02538252082221
"47",1951,1,1.06,47,56,1.06523616544345
"48",1952,1,1.17,48,57,1.18701487501955
"49",1953,1,1.05,49,58,1.07554730975698
"50",1954,1,0.98,50,59,1.01362343047749
"51",1955,1,1.02,51,60,1.06537450806091
"52",1956,1,1.03,52,61,1.086508055626
"53",1957,1,1.03,53,62,1.09741127954483
"54",1958,1,0.93,54,63,1.00091074088271
"55",1959,1,0.88,55,64,0.956797226818819
"56",1960,1,0.91,56,65,0.999652392539296
"57",1961,1,1.06,57,66,1.17660410427651
"58",1962,1,0.88,58,67,0.987123552184412
"59",1963,1,0.8,59,68,0.906967358945323
"60",1964,1,1.07,60,69,1.22616184518571
"61",1965,1,1,61,70,1.15844912591539
"62",1966,1,0.99,62,71,1.15951617966647
"63",1967,1,0.87,63,72,1.03033481967449
"64",1968,1,0.83,64,73,0.994051217547901
"65",1969,1,0.51,65,74,0.617771196660886
"66",1970,1,0.56,66,75,0.686165456268093
"67",1971,1,0.8,67,76,0.991681018578194
"68",1972,1,0.49,68,77,0.614580092803884
"69",1973,1,0.34,69,78,0.431541267438554
"70",1974,1,0.41,70,79,0.526684271977639
"71",1975,1,0.5,71,80,0.650164354378626
"72",1976,1,0.62,72,81,0.816200106390203
"73",1977,1,0.63,73,82,0.839777215732556
"74",1978,1,0.51,74,83,0.688463239262432
"75",1979,1,0.65,75,84,0.888753229093551
"76",1980,1,0.61,76,85,0.844942117784484
"77",1981,1,0.68,77,86,0.954353457246198
"78",1982,1,0.54,78,87,0.768021195919374
"79",1983,1,0.48,79,88,0.691954808012472
"80",1984,1,0.6,80,89,0.876849106067148
"81",1985,1,0.42,81,90,0.6223609194836
"82",1986,1,0.55,82,91,0.826532104546304
"83",1987,1,0.59,83,92,0.89937348636832
"84",1988,1,0.32,84,93,0.494901319024617
"85",1989,1,0.43,85,94,0.674853980501727
"86",1990,1,0.37,86,95,0.589400790075711
"87",1991,1,0.25,87,96,0.404309927573416
"88",1992,1,0.43,88,97,0.70616963083879
"89",1993,1,0.4,89,98,0.667222489415836
"90",1994,1,0.58,90,99,0.982915068893898
"91",1995,1,0.37,91,100,0.637202835385834
"92",1996,1,0.5,92,101,0.875282482000828
"93",1997,1,0.36,93,102,0.640768376990642
"94",1998,1,0.67,94,103,1.21287427145382
"95",1999,1,0.58,95,104,1.06816331403865
"96",2000,1,0.72,96,105,1.34940258111526
"97",2001,1,0.84,97,106,1.60259229003462
"98",2002,1,1.03,98,107,2.00104090541744
"99",2003,1,0.94,99,108,1.86023157266229
"100",2004,1,0.7,100,109,1.41158983746917
"101",2005,1,0.47,101,110,0.966131771865995
"102",2006,1,0.38,102,111,0.796549834913571
"103",2007,1,0.28,103,112,0.598752796968055
"104",2008,1,0.22,104,113,0.480118657777452
"105",2009,1,0.32,105,114,0.713010277050186
"106",2010,1,0.46,106,115,1.04692330567076
"107",2011,1,0.51,107,116,1.18614571667331
"108",2012,1,0.84,108,117,1.99740640641854
"109",1916,2,2.74,12,4,1.18891675617539
"110",1917,2,3.46,13,5,1.54109458317962
"111",1918,2,2.27,14,6,1.03778787827019
"112",1919,2,2.06,15,7,0.966620886802172
"113",1920,2,1.78,16,8,0.857218010523965
"114",1921,2,1.67,17,9,0.825364188830195
"115",1922,2,1.5,18,10,0.760769728478355
"116",1923,2,1.23,19,11,0.640138929836728
"117",1924,2,1.56,20,12,0.833056831637604
"118",1925,2,1.15,21,13,0.630088996503216
"119",1926,2,1.2,22,14,0.674546373028334
"120",1927,2,1.32,23,15,0.761207135575802
"121",1928,2,1.41,24,16,0.834098951482157
"122",1929,2,1.35,25,17,0.819166714445453
