"SpeciesNum","species"
1,"Abies_alba"
2,"Abies_cephalonica"
3,"Abies_concolor"
4,"Abies_lasiocarpa"
5,"Abies_sibirica"
6,"Austrocedrus_chilensis"
7,"Castanea_sativa"
8,"Fagus_sylvatica"
9,"Nothofagus_dombeyi"
10,"Picea_abies"
11,"Picea_engelmannii"
12,"Pinus_brutia"
13,"Pinus_flexilis"
14,"Pinus_halepensis"
15,"Pinus_sibirica"
16,"Pinus_sylvestris"
17,"Populus_tremuloides"
18,"Pseudotsuga_menziesii"
19,"Quercus_cerris"
20,"Quercus_macrocarpa"
21,"Quercus_pyrenaica"
22,"Quercus_robur"
23,"Quercus_rubra"
