"","mean","sd","median","lower2.5","upper97.5","diff"
"a[1,1]",0.69028,0.01564,0.68958,0.66037,0.72319,1
"a[2,1]",-0.00129,0.00278,-0.00104,-0.00748,0.00363,0
"a[3,1]",0.01044,0.01486,0.00981,-0.01826,0.04033,0
"a[4,1]",-0.00185,0.00276,-0.00187,-0.00826,0.00337,0
"a[5,1]",0.74156,0.05967,0.74126,0.62139,0.8653,1
"a[6,1]",-0.96714,114.3495,-0.83212,-230.88935,220.18623,0
"a[1,2]",0.68018,0.04016,0.67634,0.60291,0.77437,1
"a[2,2]",0.00777,0.04041,-0.00071,-0.07861,0.11692,0
"a[3,2]",0.00198,0.01329,0.00164,-0.02288,0.02997,0
"a[4,2]",-5e-04,0.00742,-0.00055,-0.01538,0.01431,0
"a[5,2]",0.81803,0.11978,0.81689,0.58238,1.05592,1
"a[6,2]",1.78319,114.60092,1.3931,-224.54199,227.26415,0
"a[1,3]",0.68997,0.01565,0.6893,0.66008,0.7221,1
"a[2,3]",-0.00112,0.00277,-0.00092,-0.00721,0.00395,0
"a[3,3]",0.01009,0.01505,0.00943,-0.01932,0.03984,0
"a[4,3]",-0.00195,0.00276,-0.00196,-0.00851,0.00317,0
"a[5,3]",0.7296,0.06587,0.73418,0.58192,0.8566,1
"a[6,3]",0.02733,114.68913,-1.12753,-224.94915,227.62517,0
"a[1,4]",0.69028,0.01565,0.68959,0.66089,0.72271,1
"a[2,4]",-0.00099,0.00279,-0.00084,-0.0069,0.00432,0
"a[3,4]",0.01102,0.01489,0.01032,-0.0173,0.04083,0
"a[4,4]",-0.00193,0.00274,-0.00194,-0.00839,0.00323,0
"a[5,4]",0.74229,0.05996,0.74153,0.62372,0.8697,1
"a[6,4]",0.23659,114.4329,-1.69215,-221.3798,226.42351,0
"a[1,5]",0.6895,0.01564,0.68892,0.65942,0.72102,1
"a[2,5]",-0.00111,0.00276,-0.00092,-0.00706,0.004,0
"a[3,5]",0.01048,0.01497,0.00976,-0.01847,0.04001,0
"a[4,5]",-0.00195,0.00277,-0.00195,-0.00856,0.00321,0
"a[5,5]",0.72994,0.06269,0.7341,0.58982,0.8507,1
"a[6,5]",-0.62797,115.10743,-1.34997,-222.7049,229.8,0
"a[1,6]",0.69009,0.01564,0.68951,0.66105,0.72233,1
"a[2,6]",-0.00122,0.00277,-0.00099,-0.00741,0.00374,0
"a[3,6]",0.00993,0.01501,0.00921,-0.01928,0.03929,0
"a[4,6]",-0.00182,0.00277,-0.00185,-0.00814,0.00342,0
"a[5,6]",0.74004,0.06137,0.74039,0.61679,0.86926,1
"a[6,6]",-0.30943,115.48086,-0.56504,-227.33842,225.53951,0
"a[1,7]",0.69017,0.01562,0.68951,0.66096,0.72262,1
"a[2,7]",-0.00105,0.00277,-0.00088,-0.00699,0.00404,0
"a[3,7]",0.01026,0.01491,0.00956,-0.0184,0.04013,0
"a[4,7]",-0.00186,0.00277,-0.00188,-0.0083,0.00335,0
"a[5,7]",0.72621,0.06271,0.73147,0.58496,0.84289,1
"a[6,7]",-0.45809,114.6985,-0.24702,-230.07809,222.36826,0
"a[1,8]",0.68957,0.01578,0.68907,0.65924,0.72181,1
"a[2,8]",-0.00132,0.00279,-0.00109,-0.00743,0.00365,0
"a[3,8]",0.00994,0.01518,0.00933,-0.02007,0.0393,0
"a[4,8]",-0.00193,0.00277,-0.00193,-0.00851,0.00325,0
"a[5,8]",0.72477,0.06621,0.73099,0.57237,0.8428,1
"a[6,8]",0.42415,115.0149,-0.70202,-223.68287,227.59081,0
"a[1,9]",0.6899,0.01576,0.68928,0.65982,0.72201,1
"a[2,9]",-0.00117,0.00278,-0.00096,-0.00711,0.00399,0
"a[3,9]",0.00992,0.01507,0.00929,-0.01924,0.03992,0
"a[4,9]",-0.00189,0.00277,-0.00192,-0.00837,0.0034,0
"a[5,9]",0.72904,0.06177,0.73279,0.59234,0.84612,1
"a[6,9]",-0.25974,114.79329,-0.11874,-225.07932,226.10852,0
"a[1,10]",0.69029,0.01557,0.68971,0.66085,0.72208,1
"a[2,10]",-0.00112,0.00277,-9e-04,-0.00718,0.00396,0
"a[3,10]",0.00952,0.01509,0.00893,-0.02018,0.03914,0
"a[4,10]",-0.00181,0.00279,-0.00187,-0.0083,0.00345,0
"a[5,10]",0.73233,0.06473,0.73549,0.59137,0.85666,1
"a[6,10]",-0.44462,114.82383,-0.91167,-226.61104,223.22996,0
"a[1,11]",0.6906,0.01569,0.69001,0.66091,0.72298,1
