"","X","TreeNum","treeID","site","species","status","diameter","age","coring_height","data_source","mort_fact1","mort_fact2","mort_fact_uncertainty","latitude","longitude","reference","statusCode"
"1",1,598,"A","Chojnow_Forest_District","Quercus_robur","DEAD",12.534,34,1.3,"complete","D","NS",2,52.02,21.09,"QuercusRobur_Tulik_2014",2
"2",2,1,"A1","East_Sayan","Abies_sibirica","LIVING",20.6,117,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",1
"3",3,97,"a1.10.1","DP1","Picea_abies","DEAD",26.7026,153,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"4",4,98,"a1.10.2","DP1","Picea_abies","DEAD",14.519,231,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"5",5,99,"a1.10.3","DP1","Picea_abies","DEAD",17.3306,149,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"6",6,100,"a1.10.4","DP1","Picea_abies","DEAD",11.7074,169,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"7",7,101,"a1.11.1","DP1","Picea_abies","DEAD",16.3934,216,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"8",8,102,"a1.11.2","DP1","Picea_abies","DEAD",20.1422,156,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"9",9,103,"a1.11.3","DP1","Picea_abies","DEAD",21.0794,126,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"10",10,104,"a1.5.1","DP1","Picea_abies","DEAD",20.1422,245,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"11",11,105,"a1.5.2","DP1","Picea_abies","DEAD",21.0794,226,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"12",12,106,"a1.5.3","DP1","Picea_abies","DEAD",23.891,162,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"13",13,107,"a1.5.5","DP1","Picea_abies","DEAD",14.519,150,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"14",14,108,"a1.6.1","DP1","Picea_abies","DEAD",26.7026,220,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"15",15,109,"a1.6.2","DP1","Picea_abies","DEAD",31.3886,115,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"16",16,110,"a1.6.5","DP1","Picea_abies","DEAD",15.4562,257,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"17",17,111,"a1.7.1","DP1","Picea_abies","DEAD",15.4562,161,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"18",18,112,"a1.7.5","DP1","Picea_abies","DEAD",21.0794,146,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"19",19,113,"a1.9.2","DP1","Picea_abies","DEAD",20.1422,182,NA,"complete","D","Bb",2,63,44.17,"PiceaAbies_Aakala_2011",2
"20",20,2,"A10","East_Sayan","Abies_sibirica","DEAD",16.5,83,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",2
"21",21,3,"A11","East_Sayan","Abies_sibirica","LIVING",17.52,128,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",1
"22",22,4,"A12","East_Sayan","Abies_sibirica","LIVING",24.502,99,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",1
"23",23,5,"A13","East_Sayan","Abies_sibirica","LIVING",31.172,143,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",1
"24",24,6,"A14","East_Sayan","Abies_sibirica","LIVING",20.926,93,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",1
"25",25,7,"A15","East_Sayan","Abies_sibirica","LIVING",17.142,142,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",1
"26",26,8,"A16","East_Sayan","Abies_sibirica","LIVING",20.268,126,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",1
"27",27,9,"A17","East_Sayan","Abies_sibirica","LIVING",20.038,101,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",1
"28",28,10,"A18","East_Sayan","Abies_sibirica","LIVING",18.454,97,1.3,"c-sections","D","Bb",2,54.64,93.3,"AbiesSibirica_Kharuk_2013",1
