treeID,site,species,status,diameter,age,coring_height,data_source,mort_fact1,mort_fact2,mort_fact_uncertainty,latitude,longitude,reference
X3145,Col_P1,Pinus_contorta,DEAD,15.688,104,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
X3185,Col_P2,Pinus_contorta,DEAD,27.572,120,1.3,complete,Bb,NS,4,40.22,-105.95,PinusContorta_Smith_2012
X3187,Col_P1,Pinus_contorta,DEAD,18.204,91,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
X3243,Col_M6,Pinus_contorta,DEAD,16.912,75,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3244,Col_M6,Pinus_contorta,DEAD,19.534,77,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3246,Col_M6,Pinus_contorta,DEAD,11.692,81,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3247,Col_M6,Pinus_contorta,DEAD,25.172,98,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3253,Col_M6,Pinus_contorta,DEAD,21.684,94,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3259,Col_M6,Pinus_contorta,DEAD,14.068,54,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3263,Col_M6,Pinus_contorta,DEAD,20.006,81,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3282,Col_P2,Pinus_contorta,DEAD,21.156,100,1.3,complete,Bb,NS,4,40.22,-105.95,PinusContorta_Smith_2012
X3290,Col_P1,Pinus_contorta,DEAD,26.132,172,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
X3297,Col_P1,Pinus_contorta,DEAD,18.012,117,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
X3301,Col_M6,Pinus_contorta,DEAD,20.196,91,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3311,Col_M6,Pinus_contorta,DEAD,20.48,93,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3316,Col_M6,Pinus_contorta,DEAD,20.576,89,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3328,Col_P2,Pinus_contorta,DEAD,28.628,98,1.3,complete,Bb,NS,4,40.22,-105.95,PinusContorta_Smith_2012
X3329,Col_P2,Pinus_contorta,DEAD,19.06,112,1.3,complete,Bb,NS,4,40.22,-105.95,PinusContorta_Smith_2012
X3342,Col_M6,Pinus_contorta,DEAD,23.432,93,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3344,Col_M6,Pinus_contorta,DEAD,27.2,95,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3346,Col_M6,Pinus_contorta,DEAD,19.232,91,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3348,Col_M6,Pinus_contorta,DEAD,27.964,89,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3374,Col_M6,Pinus_contorta,DEAD,26.406,95,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3377,Col_M6,Pinus_contorta,DEAD,28.814,97,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3398,Col_M6,Pinus_contorta,DEAD,15.064,70,1.3,complete,Bb,NS,4,40.04,-107.46,PinusContorta_Smith_2012
X3429,Col_P1,Pinus_contorta,DEAD,15.828,73,1.3,complete,Bb,NS,4,40.13,-105.82,PinusContorta_Smith_2012
