"","mean","sd","median","lower2.5","upper97.5","diff"
"a[1,1]",0.25252,0.01597,0.25415,0.22753,0.28502,1
"a[2,1]",0.00276,0.00224,0.0019,-5e-05,0.00769,0
"a[3,1]",0.00074,0.01133,0.00107,-0.02184,0.01687,0
"a[4,1]",0.00116,0.00216,0.00144,-0.00318,0.00485,0
"a[5,1]",0.43031,0.01112,0.42958,0.40843,0.45293,1
"a[1,2]",0.25308,0.0162,0.2545,0.22766,0.28594,1
"a[2,2]",0.0028,0.00222,0.00201,3e-05,0.00771,1
"a[3,2]",0.00098,0.01137,0.00141,-0.02127,0.01713,0
"a[4,2]",0.00121,0.00219,0.00156,-0.00329,0.00486,0
"a[5,2]",0.43008,0.01126,0.42951,0.40734,0.45454,1
"a[1,3]",0.25245,0.01605,0.25429,0.22819,0.2861,1
"a[2,3]",0.00284,0.00229,0.00193,4e-05,0.00786,1
"a[3,3]",0.00082,0.01129,0.00116,-0.02143,0.01713,0
"a[4,3]",0.00121,0.00217,0.00152,-0.00324,0.00497,0
"a[5,3]",0.42989,0.01132,0.42938,0.40803,0.45666,1
"a[1,4]",0.25259,0.016,0.25407,0.22782,0.28653,1
"a[2,4]",0.00287,0.00231,0.00198,3e-05,0.00804,1
"a[3,4]",0.00101,0.01132,0.00121,-0.02128,0.01772,0
"a[4,4]",0.00119,0.00217,0.00147,-0.00329,0.00494,0
"a[5,4]",0.43041,0.01158,0.42968,0.40829,0.45753,1
"a[1,5]",0.25267,0.01611,0.25456,0.22795,0.28508,1
"a[2,5]",0.00276,0.00224,0.00194,-0.00012,0.00768,0
"a[3,5]",0.00076,0.01143,0.00125,-0.02166,0.01729,0
"a[4,5]",0.00117,0.00218,0.0015,-0.0034,0.00483,0
"a[5,5]",0.43005,0.01167,0.42943,0.40743,0.4538,1
"a[1,6]",0.25196,0.0159,0.25381,0.22698,0.2837,1
"a[2,6]",0.00281,0.00223,0.00194,6e-05,0.00772,1
"a[3,6]",0.00085,0.01133,0.00113,-0.02115,0.01731,0
"a[4,6]",0.00119,0.00217,0.00149,-0.00327,0.00495,0
"a[5,6]",0.43119,0.01183,0.42996,0.41074,0.45918,1
"a[1,7]",0.2526,0.016,0.25438,0.22769,0.2851,1
"a[2,7]",0.0028,0.00223,0.00194,4e-05,0.00775,1
"a[3,7]",0.00075,0.01135,0.00093,-0.02149,0.01728,0
"a[4,7]",0.00123,0.00218,0.00152,-0.00317,0.00496,0
"a[5,7]",0.42961,0.01117,0.42921,0.40723,0.45314,1
"a[1,8]",0.25192,0.01581,0.25366,0.22665,0.28236,1
"a[2,8]",0.00275,0.0022,0.00191,0,0.0076,0
"a[3,8]",0.00082,0.01143,0.00107,-0.02129,0.01697,0
"a[4,8]",0.00117,0.00216,0.00148,-0.00334,0.00484,0
"a[5,8]",0.42978,0.01088,0.42926,0.40785,0.45225,1
"a[1,9]",0.25208,0.01576,0.25387,0.22773,0.28249,1
"a[2,9]",0.0028,0.00223,0.00193,0.00013,0.00766,1
"a[3,9]",0.00066,0.01129,9e-04,-0.02129,0.01705,0
"a[4,9]",0.0012,0.00217,0.00152,-0.00331,0.00487,0
"a[5,9]",0.43022,0.0107,0.42978,0.40884,0.45326,1
"a[1,10]",0.25271,0.01622,0.25426,0.22798,0.28731,1
"a[2,10]",0.00281,0.00227,0.00191,0,0.00775,0
"a[3,10]",0.00087,0.0113,0.00106,-0.02151,0.01763,0
"a[4,10]",0.00117,0.00218,0.00148,-0.00329,0.00488,0
"a[5,10]",0.42996,0.01114,0.42966,0.4082,0.4523,1
"a[1,11]",0.25252,0.01608,0.25403,0.22766,0.28554,1
"a[2,11]",0.0028,0.00226,0.00195,-3e-05,0.00778,0
"a[3,11]",0.00105,0.0114,0.00135,-0.02134,0.01736,0
"a[4,11]",0.00118,0.00219,0.00148,-0.00326,0.00501,0
"a[5,11]",0.42979,0.01126,0.42938,0.40772,0.4536,1
"a[1,12]",0.25256,0.01595,0.25424,0.22795,0.28416,1
"a[2,12]",0.0028,0.00224,0.00197,1e-04,0.00774,1
