"","mean","sd","median","lower2.5","upper97.5","diff"
"a[1,1]",0.23806,0.03683,0.25355,0.17861,0.28965,1
"a[2,1]",0.00295,0.00204,0.00266,-0.0013,0.00751,0
"a[3,1]",-0.02331,0.01398,-0.02136,-0.05566,0.00161,0
"a[4,1]",0.00041,0.00189,-3e-05,-0.00377,0.00394,0
"a[5,1]",0.4172,0.03717,0.43097,0.33918,0.46975,1
"a[1,2]",0.23848,0.0372,0.25404,0.17847,0.29131,1
"a[2,2]",0.00297,0.00201,0.00275,-0.00142,0.00747,0
"a[3,2]",-0.02315,0.0136,-0.02143,-0.05349,5e-04,0
"a[4,2]",0.00035,0.0019,-4e-05,-0.00398,0.00409,0
"a[5,2]",0.4151,0.03753,0.42865,0.33672,0.46629,1
"a[1,3]",0.23837,0.03703,0.25408,0.17794,0.29119,1
"a[2,3]",0.00305,0.00209,0.00276,-0.00117,0.0079,0
"a[3,3]",-0.02367,0.01334,-0.02207,-0.05352,0.00027,0
"a[4,3]",0.00036,0.00192,-4e-05,-0.00435,0.00399,0
"a[5,3]",0.41449,0.03859,0.42861,0.33703,0.46779,1
"a[1,4]",0.23849,0.03721,0.25401,0.17873,0.29186,1
"a[2,4]",0.0031,0.00207,0.00279,-0.00112,0.00789,0
"a[3,4]",-0.02341,0.0135,-0.0218,-0.05456,0.00036,0
"a[4,4]",4e-04,0.00193,-3e-05,-0.00408,0.00417,0
"a[5,4]",0.41502,0.03829,0.42884,0.33701,0.46815,1
"a[1,5]",0.23832,0.03703,0.25451,0.17781,0.29068,1
"a[2,5]",0.00305,0.00213,0.00274,-0.00141,0.00794,0
"a[3,5]",-0.02353,0.01414,-0.02183,-0.05508,0.00195,0
"a[4,5]",0.00037,0.00192,-4e-05,-0.00402,0.0041,0
"a[5,5]",0.4166,0.03749,0.43011,0.34002,0.47063,1
"a[1,6]",0.23874,0.03718,0.25451,0.17874,0.29317,1
"a[2,6]",0.00304,0.00207,0.00278,-0.00133,0.00779,0
"a[3,6]",-0.02353,0.01421,-0.0217,-0.05597,0.0014,0
"a[4,6]",0.00034,0.00184,-4e-05,-0.00382,0.00397,0
"a[5,6]",0.41517,0.03799,0.4292,0.33607,0.46755,1
"a[1,7]",0.23838,0.03731,0.25391,0.17823,0.29296,1
"a[2,7]",0.00297,0.00204,0.00269,-0.00142,0.00762,0
"a[3,7]",-0.02337,0.014,-0.02159,-0.05499,0.00199,0
"a[4,7]",0.00031,0.00191,-4e-05,-0.00437,0.00393,0
"a[5,7]",0.41491,0.03846,0.42909,0.3354,0.46741,1
"a[1,8]",0.23823,0.03703,0.25422,0.17872,0.29107,1
"a[2,8]",0.00296,0.00207,0.0027,-0.00153,0.00772,0
"a[3,8]",-0.02352,0.01399,-0.02184,-0.0563,0.00138,0
"a[4,8]",0.00037,0.00191,-4e-05,-0.00408,0.00413,0
"a[5,8]",0.41552,0.03799,0.42859,0.3378,0.47128,1
"a[1,9]",0.23803,0.03701,0.25389,0.17816,0.29093,1
"a[2,9]",0.00298,0.00204,0.00273,-0.0012,0.00768,0
"a[3,9]",-0.02422,0.01419,-0.02225,-0.05718,-7e-05,1
"a[4,9]",0.00036,0.00189,-4e-05,-0.00404,0.00409,0
"a[5,9]",0.41644,0.03732,0.43004,0.3402,0.46964,1
"a[1,10]",0.23734,0.03663,0.25323,0.17785,0.2891,1
"a[2,10]",0.003,0.00209,0.00273,-0.00137,0.00778,0
"a[3,10]",-0.02395,0.01425,-0.02204,-0.05661,0.00123,0
"a[4,10]",0.00037,0.00191,-4e-05,-0.00399,0.00415,0
"a[5,10]",0.41646,0.03753,0.42955,0.34013,0.4699,1
"a[1,11]",0.23852,0.03701,0.25409,0.17917,0.29126,1
"a[2,11]",0.00301,0.00207,0.00269,-0.0012,0.00784,0
"a[3,11]",-0.02372,0.01434,-0.02174,-0.0583,0.00104,0
"a[4,11]",0.00035,0.00196,-4e-05,-0.00405,0.00408,0
"a[5,11]",0.41583,0.03803,0.42964,0.33878,0.4707,1
"a[1,12]",0.23803,0.03695,0.25391,0.17876,0.29019,1
"a[2,12]",0.00301,0.00207,0.00272,-0.00136,0.00786,0
"a[3,12]",-0.02376,0.01416,-0.02174,-0.05713,0.00163,0
"a[4,12]",4e-04,0.00192,-3e-05,-0.00393,0.00408,0
"a[5,12]",0.41566,0.03835,0.42969,0.3377,0.46955,1
"a[1,13]",0.23852,0.03725,0.25396,0.17868,0.29301,1
"a[2,13]",0.00303,0.00208,0.00276,-0.00131,0.00778,0
"a[3,13]",-0.02362,0.01427,-0.0219,-0.05722,0.00088,0
"a[4,13]",0.00041,0.00184,-3e-05,-0.00362,0.00411,0
"a[5,13]",0.41577,0.03809,0.42978,0.33921,0.47037,1
"a[1,14]",0.23835,0.0371,0.25406,0.17967,0.2926,1
"a[2,14]",0.00298,0.00197,0.00275,-0.00126,0.00749,0
"a[3,14]",-0.02376,0.01411,-0.02163,-0.05612,6e-04,0
"a[4,14]",0.00038,0.00194,-4e-05,-0.00403,0.00432,0
"a[5,14]",0.41566,0.03772,0.42929,0.33587,0.46719,1
"a[1,15]",0.23874,0.03738,0.25459,0.1791,0.29256,1
"a[2,15]",0.00305,0.0021,0.00276,-0.00132,0.00793,0
"a[3,15]",-0.02322,0.01431,-0.02179,-0.05493,0.00239,0
"a[4,15]",0.00031,0.0019,-4e-05,-0.00421,0.00383,0
"a[5,15]",0.41488,0.03851,0.42875,0.33542,0.46862,1
